feature,importance_clf,importance_reg,rank_clf
night_humidity_std_24h,0.0002845226463275347,0.0002438429238038086,96
co2_rolling_min_12h,0.0002607638955076171,0.00024530263814325447,97
vpd_rolling_min_6h,0.00025433938747789755,7.15442325806094e-05,98
dewpoint_spread,0.0002438785050463236,2.109107306043072e-05,99
diurnal_humidity_range_24h,0.00023729422076870053,0.00028621133330750895,100
temperature_x_humidity,0.00022790004173674715,0.000337606792227914,101
humidity_rolling_std_24h,0.00020454235189302247,0.0001757877580770326,102
humidity_rolling_mean_12h,0.0001726110829204484,0.00026373979703011967,103
temperature_rolling_min_6h,0.0001582859845220527,4.496403689405506e-05,104
air_velocity_rolling_std_12h,0.00014786787563913405,7.998878978714613e-05,105
vpd_rolling_max_6h,0.00012056902858840412,7.590151196561457e-05,106
humidity_lag_6h,0.00011710226074506203,4.7051906944532964e-05,107
humidity_lag_3h,0.00010902555462447191,3.667944514833358e-05,108
humidity_rolling_min_6h,0.00010280319132517921,0.00018751737052900174,109
vpd_rolling_mean_12h,9.813438005004943e-05,0.0002798977661468707,110
dew_point_rolling_mean_12h,9.030966998921572e-05,0.0001045902497180899,111
dew_point_rolling_min_6h,8.881441301910181e-05,5.468671687381752e-05,112
humidity_lag_24h,8.834140708447393e-05,0.00010076703750570241,113
dew_point_rolling_max_6h,7.91285739789087e-05,0.00010309159763065191,114
temperature_rolling_mean_6h,6.429787185900052e-05,3.616194788359845e-05,115
dew_point_lag_12h,6.268725675305736e-05,1.538684208163497e-05,116
vpd_lag_24h,5.98403563852672e-05,2.8615643532574068e-05,117
humidity_lag_1h,5.7128899987345044e-05,4.8074435235053206e-05,118
humidity,5.296739317233207e-05,0.00010017694307032575,119
dew_point_lag_3h,5.2196522588207815e-05,1.6056271471108478e-05,120
vpd,5.1609117934192014e-05,4.0749766659887585e-05,121
solar_radiation_rolling_std_12h,5.0738461453851314e-05,4.0743956171854875e-05,122
vpd_lag_1h,4.73744133583943e-05,1.7671109526817968e-05,123
humidity_x_vpd,4.701651739280521e-05,1.3902527010297959e-05,124
dew_point_rolling_mean_6h,4.4597548114787546e-05,4.346020165551478e-05,125
dew_point_lag_6h,4.35224930122623e-05,4.7034813031821315e-05,126
temperature_rolling_max_6h,3.9154006219123955e-05,4.425605229830141e-05,127
temperature_rolling_mean_12h,3.729651366286418e-05,8.788369687363153e-05,128
air_velocity_rolling_std_6h,3.668727651795673e-05,5.104690748647539e-06,129
temperature_lag_6h,3.628671391943388e-05,1.6621493568558937e-05,130
humidity_rolling_std_6h,3.532163453177351e-05,1.4102547081493066e-05,131
vpd_rolling_std_12h,3.507662069369949e-05,2.072176528903423e-05,132
temperature_x_vpd,3.40972417575482e-05,1.7493523550013157e-05,133
